		1996		1997		1998		1999		2000		2001		2002		2003		2004		2005		2006		2007		2008		2009		2010		2011		2012		2013		2014		2015	
DAY	1996		1997		1998		1999		2000		2001		2002		2003		2004		2005		2006		2007		2008		2009		2010		2011		2012		2013		2014		2015		
1-Jul	98	0.0	86.0	0.0	91.0	0.0	84.0	0.0	89.0	0.0	84.0	0.0	90.0	0.0	73.0	0.5	82.0	0.0	91.0	0.0	93.0	0.0	95.0	0.0	85.0	0.0	95.0	0.0	87.0	0.0	92.0	0.0	105.0	0.0	82.0	0.0	90.0	0.0	85.0	0.0	
2-Jul	97	0.0	90.0	0.0	88.0	0.0	82.0	0.0	91.0	0.0	87.0	0.0	90.0	0.0	81.0	0.0	81.0	0.0	89.0	0.0	93.0	0.0	85.0	0.0	87.0	0.0	90.0	0.0	84.0	0.0	94.0	0.0	93.0	0.0	85.0	0.0	93.0	0.0	87.0	0.0	
3-Jul	97	0.0	93.0	0.0	91.0	0.0	87.0	0.0	93.0	0.0	87.0	0.0	87.0	0.0	87.0	0.0	86.0	0.0	86.0	0.0	93.0	0.0	82.0	0.0	91.0	0.0	89.0	0.0	83.0	0.0	95.0	0.0	99.0	0.0	76.0	0.0	87.0	0.0	79.0	0.0	
4-Jul	90	0.0	91.0	0.0	91.0	0.0	88.0	0.0	95.0	0.0	84.0	0.0	89.0	0.0	86.0	0.0	88.0	0.0	86.0	0.0	91.0	0.0	86.0	0.0	90.0	0.0	91.0	0.0	85.0	0.0	92.0	0.0	98.0	0.0	77.0	0.0	84.0	0.0	85.0	0.0	
5-Jul	89	0.0	84.0	0.0	91.0	0.0	90.0	0.0	96.0	0.0	86.0	0.0	93.0	0.0	80.0	0.0	90.0	0.0	89.0	0.0	90.0	0.0	88.0	0.0	88.0	0.0	80.0	0.0	88.0	0.0	90.0	0.0	100.0	0.0	83.0	0.0	86.0	0.0	84.0	0.0	
6-Jul	93	0.0	84.0	0.0	89.0	0.0	91.0	0.0	96.0	0.0	87.0	0.0	93.0	0.0	84.0	0.0	90.0	0.0	82.0	0.0	81.0	0.0	87.0	0.0	82.0	0.0	87.0	0.0	89.0	0.0	90.0	0.0	98.0	0.0	83.0	0.0	87.0	0.0	84.0	0.0	
7-Jul	93	0.0	75.0	0.0	93.0	0.0	82.0	0.0	96.0	0.0	87.0	0.0	89.0	0.0	87.0	0.0	89.0	0.0	76.0	0.0	80.0	0.0	82.0	0.0	88.0	0.0	86.0	0.0	94.0	0.0	94.0	0.0	93.0	0.0	79.0	0.0	89.0	0.0	90.0	0.0	
8-Jul	91	0.0	87.0	0.0	95.0	0.0	86.0	0.0	91.0	0.0	89.0	0.0	89.0	0.0	90.0	0.0	87.0	0.0	88.0	0.0	82.0	0.0	82.0	0.0	90.0	0.0	82.0	0.0	97.0	0.0	94.0	0.0	95.0	0.0	88.0	0.0	90.0	0.0	90.0	0.0	
9-Jul	93	0.0	84.0	0.0	95.0	0.0	87.0	0.0	96.0	0.0	91.0	0.0	90.0	0.0	89.0	0.0	88.0	0.0	89.0	0.0	84.0	0.0	89.0	0.0	89.0	0.0	84.0	0.0	96.0	0.0	91.0	0.0	97.0	0.0	88.0	0.0	90.0	0.0	91.0	0.0	
10-Jul	93	0.0	87.0	0.0	91.0	0.0	87.0	0.0	99.0	0.0	87.0	0.0	91.0	0.0	84.0	0.0	89.0	0.0	78.0	0.0	84.0	0.0	86.0	0.0	87.0	0.0	84.0	0.0	90.0	0.0	92.0	0.0	95.0	0.0	87.0	0.0	87.0	0.0	93.0	0.0	
11-Jul	90	0.0	84.0	0.0	91.0	0.0	82.0	0.0	96.0	0.0	90.0	0.0	84.0	0.0	84.0	0.0	90.0	0.0	83.0	0.0	90.0	0.0	85.0	0.0	89.0	0.0	86.0	0.0	93.0	0.0	95.0	0.0	90.0	0.0	80.0	0.0	85.0	0.0	92.0	0.0	
12-Jul	91	0.0	88.0	0.0	86.0	0.0	77.0	0.0	93.0	0.0	90.0	0.0	77.0	0.0	86.0	0.0	89.0	0.0	86.0	0.0	91.0	0.0	87.0	0.0	93.0	0.0	90.0	0.0	90.0	0.0	95.0	0.0	84.0	0.0	87.0	0.0	90.0	0.0	93.0	0.0	
